1019 13
0	42027	0	1	70	0.788	115	2.02000000000000000000e+02	5.24000000000000000000e+02	2.04498842358589172363e-02	1.82097923755645751953e+00	4.575	0.9409446120262146
1	42027	0	1	50	0.562	115	1.97000000000000000000e+02	5.14000000000000000000e+02	2.01764684170484542847e-02	1.77176415920257568359e+00	3.95	0.8097045421600342
2	42027	0	1	8	0.803	115	1.98000000000000000000e+02	5.16000000000000000000e+02	2.02399156987667083740e-02	1.78318500518798828125e+00	4.4	0.8401599526405334
3	65168	1	1	50	0.031	115	2.03000000000000000000e+02	5.25000000000000000000e+02	2.04877387732267379761e-02	1.82779300212860107422e+00	1.35	0.9591145515441895
4	65168	1	1	70	0.269	115	1.94000000000000000000e+02	5.06000000000000000000e+02	1.99752394109964370728e-02	1.73554301261901855469e+00	1.6500000000000001	0.713114857673645
5	65168	1	1	70	0.289	115	1.98000000000000000000e+02	5.16000000000000000000e+02	2.02435255050659179688e-02	1.78383469581604003906e+00	1.675	0.841892421245575
6	65168	1	1	70	0.328	115	2.01000000000000000000e+02	5.22000000000000000000e+02	2.03955844044685363770e-02	1.81120514869689941406e+00	1.7000000000000002	0.9148805141448975
7	65168	1	1	70	0.279	115	1.97000000000000000000e+02	5.13000000000000000000e+02	2.01691370457410812378e-02	1.77044475078582763672e+00	1.675	0.8061861395835876
8	65168	1	1	22	0.897	115	2.05000000000000000000e+02	5.29000000000000000000e+02	2.05951146781444549561e-02	1.84712076187133789062e+00	0.6000000000000001	1.0106555223464966
9	65168	1	1	37	0.546	115	1.81000000000000000000e+02	4.80000000000000000000e+02	1.92783754318952560425e-02	1.61010754108428955078e+00	0.625	0.3786201775074005
10	65425	2	1	29	0.320	1	6.07000000000000000000e+02	1.90000000000000000000e+01	2.18139514327049255371e-01	7.76082229614257812500e+00	1.5250000000000001	0.694205641746521
11	65425	2	1	49	0.006	1	9.34000000000000000000e+02	2.60000000000000000000e+01	3.23047190904617309570e-01	9.53618335723876953125e+00	1.075	1.1380457878112793
12	65425	2	1	49	0.024	1	5.71000000000000000000e+02	1.80000000000000000000e+01	2.06757351756095886230e-01	7.56820106506347656250e+00	1.1	0.6460503339767456
13	65425	2	1	49	0.022	1	1.09600000000000000000e+03	3.00000000000000000000e+01	3.75138789415359497070e-01	1.04177331924438476562e+01	1.1	1.3584332466125488
14	65425	2	1	29	0.285	1	6.00000000000000000000e+02	1.90000000000000000000e+01	2.15872079133987426758e-01	7.72245073318481445312e+00	0.775	0.6846126317977905
15	65425	2	1	29	0.286	1	8.72000000000000000000e+02	2.50000000000000000000e+01	3.03364574909210205078e-01	9.20309257507324218750e+00	0.8	1.054773211479187
16	65425	2	1	29	0.020	1	9.46000000000000000000e+02	2.60000000000000000000e+01	3.27110141515731811523e-01	9.60494041442871093750e+00	0.8500000000000001	1.1552351713180542
17	65425	2	1	29	0.011	1	5.21000000000000000000e+02	1.70000000000000000000e+01	1.90602332353591918945e-01	7.29480886459350585938e+00	0.875	0.5777021646499634
18	66031	2	1	23	0.650	1	4.92000000000000000000e+02	1.60000000000000000000e+01	1.81262582540512084961e-01	7.13675165176391601562e+00	0.8	0.5381878614425659
19	66031	2	1	56	0.253	1	3.89000000000000000000e+02	1.40000000000000000000e+01	1.48338317871093750000e-01	6.57957124710083007812e+00	1.3	0.3988928496837616
20	66031	2	1	56	0.298	1	4.24000000000000000000e+02	1.50000000000000000000e+01	1.59635886549949645996e-01	6.77076101303100585938e+00	1.3250000000000002	0.44669029116630554
21	66031	2	1	56	0.329	1	7.68000000000000000000e+02	2.20000000000000000000e+01	2.70061433315277099609e-01	8.63950157165527343750e+00	1.3250000000000002	0.9138753414154053
22	66031	2	1	70	0.379	1	9.65000000000000000000e+02	2.70000000000000000000e+01	3.33062797784805297852e-01	9.70567798614501953125e+00	1.4500000000000002	1.1804195642471313
23	66031	2	0	0	0.000	1	5.37000000000000000000e+02	1.70000000000000000000e+01	1.95678398013114929199e-01	7.38071155548095703125e+00	1.125	0.5991778373718262
24	66031	2	0	0	0.000	1	5.12000000000000000000e+02	1.70000000000000000000e+01	1.87878489494323730469e-01	7.24871301651000976562e+00	1.1500000000000001	0.5661782026290894
25	66031	2	1	1	0.801	1	6.84000000000000000000e+02	2.10000000000000000000e+01	2.43041008710861206055e-01	8.18223285675048828125e+00	1.2000000000000002	0.7995581030845642
26	66031	2	1	9	0.032	1	7.34000000000000000000e+02	2.20000000000000000000e+01	2.58890718221664428711e-01	8.45045852661132812500e+00	1.225	0.8666145205497742
27	66031	2	1	2	0.152	1	5.97000000000000000000e+02	1.90000000000000000000e+01	2.14960411190986633301e-01	7.70702266693115234375e+00	1.225	0.680755615234375
28	66031	2	1	2	0.145	1	5.99000000000000000000e+02	1.90000000000000000000e+01	2.15755000710487365723e-01	7.72046947479248046875e+00	1.225	0.684117317199707
29	66031	2	1	70	0.669	1	6.02000000000000000000e+02	1.90000000000000000000e+01	2.16669484972953796387e-01	7.73594522476196289062e+00	1.8	0.6879863142967224
30	66031	2	1	70	0.503	1	1.09500000000000000000e+03	3.00000000000000000000e+01	3.74967336654663085938e-01	1.04148321151733398438e+01	1.7750000000000001	1.3577078580856323
31	66031	2	1	28	0.525	1	6.73000000000000000000e+02	2.00000000000000000000e+01	2.39542320370674133301e-01	8.12302398681640625000e+00	1.0	0.7847560048103333
32	67562	1	1	18	0.759	115	1.86000000000000000000e+02	4.90000000000000000000e+02	1.95520501583814620972e-02	1.65936911106109619141e+00	0.925	0.5099842548370361
