0	L4_PC
1	L23_PC
2	L23_SBC
3	L4_SS
4	L5_UTPC
5	L5_TTPC1
6	L5_LBC
7	L6_MC
8	L23_NGC
9	L23_DBC
10	L23_LBC
11	L23_MC
12	L5_MC
13	L5_TTPC2
14	L6_IPC
15	L23_NBC
16	L23_BTC
17	L4_MC
18	L6_TPC_L4
